Kg1,b2, Kf2,b1=Q, Ke2,Qb2+, Ke1,Kf3, Kd1,Bc6, c4,Ba4+, Ke1,Qe2#  {White checkmated} 0-1
Kf3,a1=Q, Kg4,Kd6, Kxh4,Ke6, Kg4,Qd1+, Kg5,Qg1+, Kh4,Kf5, Kh3,Qg3#  {White checkmated} 0-1
Kg2,Kc2, Rxb2+,Rxb2, Kg1,Kd3, g4,Ke3, f5,Kf3, Kh1,Kg3, Kg1,Rb1#  {White checkmated} 0-1
Kc3,e2, Kb3,Ke3, Ka3,Qc4, Kb2,Kd3, Ka3,Qb5, Ka2,Kc3, Ka3,Qa6#  {White checkmated} 0-1
Kh6,a2, Kg6,a1=Q, Kf5,Qxh7+, Ke6,Qh5, Kd6,Qa6+, Kd7,Qh7+, Ke8,Qc8#  {White checkmated} 0-1
Kg3,a1=Q, Kh4,Kf5, Kg3,Qc3+, Kf2,Kf4, Kg1,Qd2, Kf1,Kf3, Kg1,Qg2#  {White checkmated} 0-1
Kf7,Rd7+, Ke6,Re7+, Kf5,e2, Kg4,e1=Q, Kh3,Qh1+, Kg4,Qd4+, Kf5,Re5#  {White checkmated} 0-1
b3,Bd7, c3,Qc8, Bf4,Bxh3, Bxh3,Qxh3, Bxc7,Ng4, Nf3,exf3, exf3,Qh2#  {White checkmated} 0-1
h4,Qf2+, Kh2,Qg3+, Kg1,Rf2, Rh2,Ree2, Kh1,Rxg2, Qg1,Rxg1+, Rxg1,Qxh2#  {White checkmated} 0-1
Kc1,Qe2, Kb1,Qd2, Ka1,g5, Kb1,g4, Ka1,g3, Kb1,g2, Ka1,g1=Q#  {White checkmated} 0-1
Ba3,Rfe8, Re1,Rad8, Qxc7,Rxd5, cxd5,Qg4, Qxa7,Qf3, Qxf7+,Kxf7, Re3,Qg2#  {White checkmated} 0-1
Ne8,Qe1, Nf6,Qe2+, Kg1,c5, g4,c4, h6,c3, Nxh7,c2, Nf6,c1=Q#  {White checkmated} 0-1
Kc6,Qc1+, Kd5,Qge1, Kd6,Qcd1+, Kc6,Qee2, Kc5,Qec2+, Kb5,Qdb1+, Ka5,Qca2#  {White checkmated} 0-1
Kh2,Qh4+, Kg2,Nf4+, Kg1,Qe1+, Kh2,Qxa5, Kg1,Qg5+, Kf1,Qg2+, Ke1,Qe2#  {White checkmated} 0-1
a4,bxa4, b5,e2, Kb2,e1=Q+, Ka3,Qf4, Kb2,Qee3, Ka1,Qff2, Kb1,Qee1#  {White checkmated} 0-1
Ng1,Qc2+, Kh1,Kf2, Kh2,Kf1+, Ne2,Qxe2+, Kg3,Qe3+, Kh2,Qf3, exf6,Qg2#  {White checkmated} 0-1
h4,Qe1, h5,Qh4, h6,Qg4+, Kf1,Qf4+, Kg2,Re2+, Kg1,Qf2+, Kh1,Qg2#  {White checkmated} 0-1
Kh2,Kf2, Kh3,g1=Q, Kh4,Kf3, Kh5,Kf4, Kh6,Kf5, Kh7,Kf6, Kh8,Qg7#  {White checkmated} 0-1
b3,Rc7, Ra2,Rec8, Bb2,Bxa3, Bxa3,Qxa3, Qc2,Rxc2, Rxc2,Qa1+, Rc1,Qxc1#  {White checkmated} 0-1
g5,c1=Q, g6,Qce1+, Kg4,Qe5, Kf3,Qf5+, Kg2,Qee4+, Kh2,Qeg4, Kh1,Qfh5#  {White checkmated} 0-1
Kd6,Nb3+, Ke6,Qad5+, Kf6,Q1f3+, Kg6,Qff5+, Kh6,Qde6+, Kg7,Qff7+, Kh8,Qee8#  {White checkmated} 0-1
Kxf2,Qh2+, Rg2,Qh4+, Rg3,Rh7, c4,Rg7, Ke2,Rxg3, Kd1,Qh2, d5,Rg1#  {White checkmated} 0-1
Bxb4,Bf3, Bf1,Be5+, Kh1,Qg3, Rc8+,Kg7, Rg8+,Kxg8, Kg1,Bd4+, Kh1,Qh3#  {White checkmated} 0-1
Kf3,Qe3+, Kg2,Rg1+, Kh3,g2+, Kh2,Qf2, Kh3,Rf1, Kg4,g1=Q+, Kh3,Qfh2#  {White checkmated} 0-1
Ke1,f3, Kf1,Bd3+, Kg1,f2+, Kh2,f1=Q, Kg3,Qg1+, Kh4,Kf4, Kh3,Qg3#  {White checkmated} 0-1
Ke3,Rgxg4, Ke2,Rg3, Kf2,Rhg4, Ke2,f5, Ke1,Rg2, Kd1,Re4, Kc1,Re1#  {White checkmated} 0-1
Kf1,a2, Kf2,a1=Q, Kg2,c4, Kf2,c3, Ke3,c2, Kf2,c1=Q, Kg2,Qg1#  {White checkmated} 0-1
Kd5,Qd1+, Ke4,c1=Q, Kf5,Qe1, Kg4,Qce3, Kh5,Q1g1, Kh4,Qeg3+, Kh5,Qg5#  {White checkmated} 0-1
Ra2,Rah8, Rg2,c4, bxc4,Bc5+, d4,Bxd4+, Be3,Bxe3+, Rgf2,Rh1+, Kg2,R8h2#  {White checkmated} 0-1
Kd2,Kf4, Kc2,Ke4, Kd2,Qd3+, Kc1,Qe2, Kb1,Kd3, Ka1,Kc3, Kb1,Qb2#  {White checkmated} 0-1
Qf5+,Qe6, Qxf3,Qxh3, Qf6,Rh8, Qc3+,Kb8, Qe5+,Ka8, Qxh8,Rxh8, d4,Qh1#  {White checkmated} 0-1
Kf4,b1=R, Ke5,Rd8, Kf5,Re1, Kg6,Rd2, Kg5,Rf2, Kh5,Rg1, Kh4,Rh2#  {White checkmated} 0-1
Ke6,Qg5, Kd6,Ke4, Ke6,Qg6+, Ke7,Kd5, Kd7,Qg7+, Kc8,Kc6, Kd8,Qd7#  {White checkmated} 0-1
Rxh3,gxh3, Rxf7,h2, b7,h1=Q, b8=Q,Qg2+, Rf2,Qxf2+, Kd1,Qe2+, Kc1,Qc2#  {White checkmated} 0-1
Kh2,Kd4, Kg2,d1=R, Kg3,Rd3+, Kg2,c2, Kg1,c1=R+, Kf2,Rd2+, Kf3,Re3#  {White checkmated} 0-1
Kg2,Kf4, Kf1,h3, Kg1,Ke3, Kf1,b3, Kg1,a3, Kh1,a2, Kg1,a1=R#  {White checkmated} 0-1
Kf4,Qf1+, Kg5,Qff5+, Kh6,Qe3+, Kg7,Qd4+, Kg8,Qd8+, Kg7,Qdf8+, Kh7,Qh5#  {White checkmated} 0-1
Kxf1,Qh1+, Kf2,Qxa1, Ba5,Rf8, Bc3,Qh1, Kg3,Rf6, Kf2,Rg6, Ba5,Rg2#  {White checkmated} 0-1
