273998520, g4,Nb4, Bb1,Nc6, g5,hxg5, Qxg5,Ba6, Qg6,Qxc3+, Bxc3,Nd8, Rh8#,{Black checkmated} 1-0
273996956, Kg6,Kf8, f6,Ke8, e6,Kd8, f7,Ke7, Kg7,Kd8, Ra7,b4, f8=Q#,{Black checkmated} 1-0
273996621, Qe3,Nxg5, Nxg5,hxg5, Qxg5+,Kh8, Bd3,Re8, Qh6+,Kg8, Qh7+,Kf8, Qh8#,{Black checkmated} 1-0
273996058, Re1,Re7, Qg5,Rfe8, Qf6+,Kh7, Rg1,Bb5, Rg7+,Kh8, Rxe7+,Kg8, Qg7#,{Black checkmated} 1-0
273994942, fxe4,Nd6, exd5+,Kf4, Rd4+,Ne4, Rexe4+,Kf3, Qf5+,Kg3, Qf4+,Kh3, Qg4#,{Black checkmated} 1-0
273992882, Qa6,Kf5, Qxa4,Kg5, Qb5+,Kf4, e8=Q,Kf3, Qf5+,Kg3, Qg8+,Kh4, Qfh7#,{Black checkmated} 1-0
273987354, Kf3,Kf7, Qc6,Kf8, Qc7,Kg8, Kf4,Kf8, Kf5,Kg8, Kg6,Kf8, Qf7#,{Black checkmated} 1-0
273986397, Qd5,Kg7, Qd6,Kf7, Ke5,Kg7, Kf5,Kf7, Qd7+,Kg8, Kg6,Kf8, Qf7#,{Black checkmated} 1-0
273983476, Nxg3,f4, Nh5+,Kh7, Nxf4,Kh8, Qe7,Kg8, Kd6,Kh8, Nh5,Kg8, Qg7#,{Black checkmated} 1-0
273982728, Bxd5,Rf7, Qe2,Kf8, Re1,Qa4, Qe5,Qd4, Bxd4,Rd7, Qh8+,Kf7, Qg7#,{Black checkmated} 1-0
273982286, Qd3,Bf5, Rxf5,gxf5, Qxf5,Kh8, Bd3,Bh2+, Kxh2,Kg8, Qg6+,Kh8, Qg7#,{Black checkmated} 1-0
273981066, Kf5,a4, Kxg5,Kf8, Qe2,a3, Qe5,Kg8, Qe8+,Kg7, Qf7+,Kh8, Qh7#,{Black checkmated} 1-0
273980154, a8=R,Kf7, b8=R,Kf6, c8=R,Ke7, Rc5,Kf7, Rb6,Kg7, Ra7+,Kg8, Rd8#,{Black checkmated} 1-0
273978705, h8=Q,Kd7, Qf6,Kc7, g7,Kb7, g8=Q,Ka7, Qgg7,Ka8, Ne5,Kb8, Qff8#,{Black checkmated} 1-0
273977931, a5,Kf8, a6,Kf7, a7,Ke6, a8=Q,Kf7, Qc6,Kf8, Rb7,Kg8, Qc8#,{Black checkmated} 1-0
273977525, e5,Kf7, e6+,Kf8, Rb7,Ke8, f6,Kd8, f7,Kc8, Re7,Kd8, f8=Q#,{Black checkmated} 1-0
273977185, g7,Ke6, g8=Q+,Ke7, Qg7+,Ke6, Qgg5,Kd7, Qg6,Ke7, Qff7+,Kd8, Qgg8#,{Black checkmated} 1-0
273976862, Qg8+,Kxh5, c4,Kh6, c5,Kh5, c6,Kh4, c7,Kh5, c8=Q,Kh4, Qcg4#,{Black checkmated} 1-0
273975354, Qxc5,Kg8, Qc7,g6, Kg3,Kf8, Kf4,Kg8, Kg5,Kh8, Kxg6,Kg8, Qc8#,{Black checkmated} 1-0
273974631, b4,a5, bxa5,Bd3, g7,Bc4, Bg6,c5, h5,Bb3, h6,Bd5, h7#,{Black checkmated} 1-0
273972927, Qc8+,Kh7, Qh3+,Kg8, Qc8+,Kh7, Rbf2,Re7, Qh3+,Kg7, Qh6+,Kg8, Rf8#,{Black checkmated} 1-0
273971940, a7,Ke7, a8=Q,Kf7, Bf2,Ke7, Qa7+,Ke8, Bh4,Kf8, Kf6,Kg8, Qg7#,{Black checkmated} 1-0
273971633, Qh5+,Kg8, g6,Re8, Qh7+,Kf8, Nxd7+,Bxd7, Ba3+,c5, Bxc5+,Re7, Qh8#,{Black checkmated} 1-0
273970685, Bxh7+,Kh8, Ng5,Qxd4+, Kh1,Qxa1, Bg8,f5, exf6,g6, Qxg6,Rxg8, Qh6#,{Black checkmated} 1-0
273970519, Kd5,Kc8, Rg7,Kd8, Kd6,Kc8, Rf7,Kb8, Kc6,Ka8, Kb6,Kb8, Rf8#,{Black checkmated} 1-0
273970044, Ng5,Rb8, Bh5,gxh5, Qxh5,Qc4, Qxh6,Qxf1+, Rxf1,Rf6, Qxh7+,Kf8, Qh8#,{Black checkmated} 1-0
273966825, Bh4,g5, Nxg5,fxg5, Qxh5,gxh4, Bxh7+,Kh8, Bg6+,Bh6, Qxh6+,Kg8, Qh7#,{Black checkmated} 1-0
273964400, Kc6,Kd8, Kd6,Kc8, Rd7,Kb8, Rc7,Ka8, Kc6,Kb8, Kb6,Ka8, Rc8#,{Black checkmated} 1-0
273963022, Ne8,Kh6, Nef8+,Kg5, Qf6+,Kg4, Ne5+,Kh3, Rh7+,Kg2, Rg7+,Kh2, Qh6#,{Black checkmated} 1-0
273955842, g4,Kf1, g5,Ke1, g6,Kd1, g7,Ke1, g8=Q,Kf1, Qgg2+,Ke1, Qbd2#,{Black checkmated} 1-0
273954690, h5,Nf2, Rh2,gxf3, hxg6,Bh3, gxf7+,Kxf7, Rg7+,Ke8, Qh8+,Ng8, Qxg8#,{Black checkmated} 1-0
273953538, Ke6,Kh6, Kf5,Kg7, Qc6,Kf7, Qc7+,Kf8, Ke6,Kg8, Kf6,Kf8, Qd8#,{Black checkmated} 1-0
273951870, Qe8,Kh7, Qxe6,Kg7, d5,Kh6, d6,Kg7, d7,Kh6, Qf7,g5, fxg5#,{Black checkmated} 1-0
273950010, Qf8,Kg4, Ke5,Kh5, Qg8,Kh4, Kf5,Kh3, Kf4,Kh2, Kf3,Kh3, Qg3#,{Black checkmated} 1-0
273940926, Ke5,h5, Ke6,Kg8, d7,Kg7, d8=Q,h4, Qe7+,Kg8, Kf6,h3, Qg7#,{Black checkmated} 1-0
273940393, Bg5,Kf7, Qe7+,Kg6, Qf6+,Kh7, Qh6+,Kg8, Bf6,Kf7, Qg7+,Ke8, Qe7#,{Black checkmated} 1-0
273939162, R8h7+,Kg8, Bg5,d6, c4,Nb4, Bf6,Rxf6, exf6,Kf8, Rg7,c5, Rh8#,{Black checkmated} 1-0
273934997, Qxh6+,Kg8, Qh7+,Kf8, Qh6+,Kg8, Bh7+,Kh8, Bg6+,Kg8, Qh7+,Kf8, Qxf7#,{Black checkmated} 1-0
273931665, Kxf5,h5, c6,h4, Rd7,Rc3, c7,Rxc7, Rxc7,h3, Kg6,Kg8, Rc8#,{Black checkmated} 1-0
273929341, Rdd8,Kc4, Kd6,Kd4, Re7,Kc4, Kc6,Kc3, Kc7,Kc4, Kc8,Kc5, Rc7#,{Black checkmated} 1-0
273926774, c8=Q,Kf6, Qc6+,Kf7, Ke5,Kg7, Qf6+,Kh7, Qg5,Kh8, Kf6,a4, Qg7#,{Black checkmated} 1-0
273925360, Kc6,Kg8, b7,Kf7, b8=Q,Nc5, Kxc5,Ke7, Qc7+,Kf8, a7,Kg8, a8=R#,{Black checkmated} 1-0
273924964, Qc1,f5, Qxc2,Kg7, Qxf5,Kh8, Qd7,Kg8, Bd6,Kh8, Be5+,Kg8, Qg7#,{Black checkmated} 1-0
273922352, Qf5+,Kh4, Qg5+,Kh3, f5,Kh2, f6,Kh3, f7,Kh2, f8=Q,Kh3, Qh8#,{Black checkmated} 1-0
273922009, g8=Q+,Kd4, Qg4+,Kc5, Qe5+,Kc6, Qg6+,Kb7, Qb5+,Kc7, Qgc6+,Kd8, Qbd5#,{Black checkmated} 1-0
273915401, Nh5,e5, Bd5+,Kh8, f4,gxf4, gxf4,Nd7, Qg3,Rf7, Bxf7,a5, Qg7#,{Black checkmated} 1-0
273915117, Ng5+,Kg6, Nf3,Qd5, Qe8+,Kg7, Re7+,Kf6, Qf8+,Kg6, Rg7+,Kh6, Qh8#,{Black checkmated} 1-0
273914799, Rd2,Nc6, Rf2,Ne5, Rf3,Nxf3+, gxf3,Bd7, Qg5+,Kf8, Qf6+,Kg8, Qf7#,{Black checkmated} 1-0
273913823, Qg5,Kd6, Qf5,Kc6, Qe5,Kd7, Qf6,Kc7, Qe6,Kb8, Qd7,Ka8, Qa7#,{Black checkmated} 1-0
273913604, Rc7,Rxc7, Qxc7+,Kf6, Qc5,Ke6, a8=Q,Kf6, Qa6+,Kg7, Qc7+,Kg8, Qac8#,{Black checkmated} 1-0
273913286, Bxh6,Re8, Bg5,c5, Ne4,Kf8, Bxf6,Qd7, Qd2,Kg8, Qh6,b5, Qg7#,{Black checkmated} 1-0
273913188, Qg5,Re8, Rf6,Qd7, Rxg6+,Kf8, Rg8+,Kf7, Rg7+,Kf8, Qf6+,Qf7, Qxf7#,{Black checkmated} 1-0
273912645, Ne5,g6, Rxh5,gxh5, Qxh5,f5, Qg6+,Kh8, O-O-O,Qxc3+, bxc3,Rg8, Rh1#,{Black checkmated} 1-0
273912515, Ba3+,Kb5, Qc6+,Ka6, Qa4+,Kb7, Rg7+,Kb8, Bd6+,Rxd6, Qe8+,Rd8, Qxd8#,{Black checkmated} 1-0
273912417, Ke6,Kg7, Kf5,Kf7, Rc7+,Kf8, Ke6,Kg8, Kf6,Kh8, Kg6,Kg8, Rc8#,{Black checkmated} 1-0
273911899, Kb6,Kg6, Kc6,Kf6, Kd6,Kg6, Ke6,Kh6, Kf6,Kh7, Qxg5,Kh8, Qg7#,{Black checkmated} 1-0
273908824, Qxg6+,Kh8, Qxh5+,Kg7, Qh6+,Kg8, Qf6,Kh7, h5,Kg8, h6,Kh7, Qg7#,{Black checkmated} 1-0
