Be7,Ke6, Kxc5,Kf7, Kb6,Ke6, Kxb7,Kf7, a6,Ke6, a7,Kf7, a8=Q,{Black resigns} 1-0
Kf4,Kd5, Kf5,Kc6, e6,Kd6, Kf6,Kc6, e7,Kd7, Kf7,Kc6, e8=Q+,{Black resigns} 1-0
Rg8,Rfd2, h8=Q,R8d3, Qe5+,Kc6, R8g6+,Rd6, Rxd6+,Rxd6, Qc3+,Kb6, Qb4,{Black resigns} 1-0
h7,Ke3, h8=Q,Kxf4, Qe5+,Ke3, Bc5+,Ke2, h4,Kd3, h5,Kc4, Bb4,{Black resigns} 1-0
O-O,e5, Nd5,Bxc2, Qxc2,Nc6, Nxf4,exf4, Bb5,Bd6, Bxc6+,Kf8, Bxb7,{Black resigns} 1-0
O-O,e5, Nd5,Bxc2, Qxc2,Nc6, Nxf4,exf4, Bb5,Bd6, Bxc6+,Kf8, Bxb7,{Black resigns} 1-0
O-O,e5, Nd5,Bxc2, Qxc2,Nc6, Nxf4,exf4, Bb5,Bd6, Bxc6+,Kf8, Bxb7,{Black resigns} 1-0
O-O,e5, Nd5,Bxc2, Qxc2,Nc6, Nxf4,exf4, Bb5,Bd6, Bxc6+,Kf8, Bxb7,{Black resigns} 1-0
O-O,e5, Nd5,Bxc2, Qxc2,Nc6, Nxf4,exf4, Bb5,Bd6, Bxc6+,Kf8, Bxb7,{Black resigns} 1-0
O-O,e5, Nd5,Bxc2, Qxc2,Nc6, Nxf4,exf4, Bb5,Bd6, Bxc6+,Kf8, Bxb7,{Black resigns} 1-0
h5,a2, h6,Kc3, h7,Re2, h8=Q+,Kd3, Qa1,Rh2, Rxa2,Rxa2, Qxa2,{Black resigns} 1-0
Qxe5+,Kxe5, Kf7,Kd6, e7,Kc5, e8=Q,Kb4, Qe5,Ka3, Qb8,Ka2, Ke6,{Black resigns} 1-0
Qxc4,Kb8, b5,Rh7, a6,b6, Qc6,Kc8, Qxe6+,Rd7, Qxg8+,Rd8, Qxh7,{Black resigns} 1-0
