Ne5,Rac8, b3,Qa3, Qb7,Nd5, Rd3,Nb4, Re2,Qxa2+, Kc1,Rxc2+, Rxc2,Qxc2#  {White checkmated} 0-1
Nf3,a3, Bg5,f6, Bxf6,Qxf6, bxa3,Bxa3, Bxh7+,Kxh7, c3,Bf5+, Rd3,Bxd3+  {White resigns} 0-1
Kd1,Qxh6, Qxd5,Rad8, c4,Bxh2, Rc1,Rxd5+, cxd5,Rxe2, Rc8+,Kh7, Kxe2,Qa6+  {White resigns} 0-1
fxg3,Bxg3, Rf2,Bxf2, Rb1,Bg3, Qxf7+,Rxf7, h3,Qxh3+, Kg1,Qh2+, Kf1,Qf2#  {White checkmated} 0-1
Kc6,Rc8+, Kb7,Rc1, Kb8,Kd6, Ka8,Rb1, Ka7,Kc6, Ka8,Kc7, Ka7,Ra1#  {White checkmated} 0-1
Kg3,Re3+, Kf2,Rxc3, a4,Ba3, Rc4,Rxc4, Ke3,Rc3+, Kf4,Be7, Ke5,Rxb3  {White resigns} 0-1
Kf5,Rxh6, Ra8+,Kg7, Ra7,Rh1, Rxa2,Nxa2, Kg5,Rg1+, Kf5,Nc3, Ke5,f6+  {White resigns} 0-1
h4,Rb3, Rxb3,cxb3, Kf4,b2, h5,b1=Q, Kg3,Qg1+, Kf4,Qh2+, Kg4,Qg2+  {White resigns} 0-1
h4,f6+, Kh6,Rh2, Rg7+,Kf8, Rxh7,Rxh4+, Kxg6,Rxh7, Kxh7,f5, Kg6,f4  {White resigns} 0-1
Kd1,Qxh6, Qxd5,Rad8, c4,Bxh2, Rc1,Rxd5+, cxd5,Rxe2, Rc8+,Kh7, Kxe2,Qa6+  {White resigns} 0-1
Kg1,Kg3, Kf1,Kxh3, Kf2,Kg4, Kg2,h3+, Kh2,Kh4, Kg1,g4, Kf2,g3+  {White resigns} 0-1
Kg1,Kg3, Kf1,Kxh3, Kf2,g4, Ke2,Kg2, Kd3,h3, Ke4,h2, Kxf4,g3  {White resigns} 0-1
Kg1,Kg3, Kf1,Kxh3, Kf2,g4, Ke2,Kg3, Kd3,h3, Ke4,h2, Kf5,h1=Q  {White resigns} 0-1
Kg1,Kg3, Kf1,Kxh3, Kf2,Kg4, Kg2,f3+, Kf2,h3, Kg1,Kg3, Kf1,h2  {White resigns} 0-1
h5,Kd4, h6,Ke5, Kh5,Kf5, Kh4,Qxh6+, Kg3,Qf4+, Kh3,Qg4+, Kh2,Kf4  {White resigns} 0-1
Kg1,Kg3, Kf1,Kxh3, Kf2,g4, Ke2,Kg2, Kd3,f3, Ke4,f2, Kf5,f1=Q+  {White resigns} 0-1
Kh5,Ke4, Kg5,Ke5, Kh5,Kf5, g4+,fxg3, Kh4,Qxh6+, Kxg3,Qf4+, Kh3,Qg4+  {White resigns} 0-1
Kxf6,Kxg4, Kg6,h3, Kf6,h2, Kg6,h1=Q, Kf6,Qf3+, Ke5,Qf4+, Kd5,Kf5  {White resigns} 0-1
Ke4,g3, Kf3,Kh2, Ke3,g2, Kf4,g1=Q, Kf5,Qe3, Kg6,Qf4, Kh7,Qg5  {White resigns} 0-1
Kg4,Rxa3, Rd1,Ra2, Kf4,a3, Rb1,Rb2, Ra1,a2, Kg4,c4, Kf4,c3  {White resigns} 0-1
f3,Nxh6, fxe4,a3, e5,a2, Kd5,a1=Q, e6,Qa2+, Kd6,Qa3+, Kd5,Qe7  {White resigns} 0-1
Ke3,g4, Kd3,Kf4, Ke2,g3, Kf1,Kf3, Kg1,g2, Kh2,Kf2, Kh3,g1=Q  {White resigns} 0-1
Re4,Ne6, h4,Rd5, Re3,a5, Ra3,b6, Re3,a4, Ra3,b5, Kg4,Nc5  {White resigns} 0-1
Qxe8+,Qxe8+, Kd2,Nxf3+, Kd3,Rd8+, Kc4,Qc6+, Kb4,a5+, Ka3,Qc5+, Ka4,Qb4#  {White checkmated} 0-1
Ke6,h5, Kf5,h4, Kg4,h3, Kg5,h2, Kh6,h1=Q+, Kg7,Ra6, Kg8,Ra7  {White resigns} 0-1
Ne1,Qd1, Qf4,Rac8, Qf3,Qxf3, Nxf3,Rc1+, Ne1,Bb4, Ke2,Bxe1, Rf1,Rhc8  {White resigns} 0-1
Kf4,Qd4+, Kg3,Be5+, Kf3,Qf4+, Kg2,Qg3+, Kf1,Bd4, Ke2,Qf2+, Kd3,Qe3+  {White resigns} 0-1
Ke5,c1=Q, Ke6,Kd2, Ke7,Qcc4, Kf6,Qce4, Kf7,Qdf3+, Kg7,Qeg4+, Kh8,Qfh3#  {White checkmated} 0-1
Ke6,d2, Kf5,Rf1, Rxd2,Bxd2, Ke6,Rxf4, h6,Rxg4, hxg7,Kxg7, Kf5,Rg1  {White resigns} 0-1
Rb1,Nh4, Qe3,Nxf3+, gxf3,Be6, a4,Nh5, b4,Nf4, Bb2,Qg5+, Kh1,Qg2#  {White checkmated} 0-1
g4,Bg6, g5,Nh5, Qe3,bxa2, Rxa2,Nf4, h4,Qd7, Bc4,Qg4+, Kh1,Qg2#  {White checkmated} 0-1
f4,Rc5, Rxd7+,Kxd7, Nb6+,Kc6, Nc8,Rc2, g4,Re2, fxe5,Bxe5, h4,Rxe3  {White resigns} 0-1
Qg6,Nxc1, Re1,Ne2, Red1,Nd4, g4,Nf3, Qf5,Nxd2, Ra1,Nxe4, Rf1,Nd6  {White resigns} 0-1
Ke2,Rfd8, cxb4,Bxb2, Rxf7,Kxf7, a4,Bxa1, Na3,R1d2+, Ke1,Bc3, Nb5,Rd1+  {White resigns} 0-1
